id1,id2,or_group
6,7,
9,8,
6,8,
7,8,
6,10,
9,10,
272,11,1
273,11,1
7,14,
274,14,1
275,14,1
14,15,
7,16,
14,17,
22,18,
7,19,
7,20,
14,21,
7,22,
14,23,
22,23,
14,24,
276,25,or
215,25,or
279,25,or
24,25,or
7,26,
7,27,
7,31,
17,33,
22,33,
17,34,
22,34,
16,35,
17,35,
26,36,
7,37,1
10,37,1
26,38,
7,39,
26,40,
7,41,1
9,41,1
10,41,1
280,41,2
281,41,2
282,41,2
283,41,2
284,41,2
26,42,
15,43,
17,43,
15,44,
17,44,
285,44,
15,45,
17,45,
15,46,
16,46,
17,46,
15,47,
17,48,
48,49,
17,50,
17,51,
21,51,
17,52,1
286,52,1
275,52,1
281,52,2
287,52,2
15,52,2
15,53,
17,53,
22,55,
17,55,
18,55,
17,56,
18,56,
17,57,
18,57,
17,58,
22,58,
16,58,1
23,58,1
18,59,
17,59,
18,61,
17,61,
61,62,
62,63,
62,64,
63,64,
17,65,
18,65,
23,67,
18,67,
23,68,
17,68,
56,69,
288,69,
279,70,1
24,70,1
7,70,
22,71,
70,71,1
289,71,1
290,72,1
291,72,1
292,72,2
14,72,2
15,73,
17,73,
7,74,
279,75,1
24,75,1
67,75,2
293,75,2
74,75,2
55,76,
67,76,
17,77,
17,78,
22,78,
16,78,1
23,78,1
17,93,
22,93,
275,94,1
294,94,1
295,94,2
14,94,2
286,94,3
296,94,3
297,95,1
298,95,1
299,95,1
94,95,1
298,96,1
299,96,1
94,96,1
300,96,2
301,96,2
302,96,2
289,111,
18,111,
20,164,
17,165,
303,165,
304,165,
20,167,
117,168,
120,168,
17,171,1
26,171,1
305,172,1
306,172,1
176,177,
176,178,
176,179,
176,180,
307,185,
55,192,
284,194,1
305,194,1
194,195,1
308,195,1
55,196,
196,197,
55,198,
55,199,
132,200,
55,201,
203,204,
55,205,
207,208,
43,210,
210,211,
212,213,
309,214,1
310,214,1
311,214,1
194,218,1
52,218,1
275,220,1
294,220,1
295,220,2
312,220,2
286,220,3
296,220,3
313,221,1
314,221,1
220,221,1
